"index"	"country"	"country_code"	"age"	"1950"	"1955"	"1960"	"1965"	"1970"	"1975"	"1980"	"1985"	"1990"	"1995"	"2000"	"2005"	"2010"
2539	"Madagascar"	450	"90-94"	0.193	0.188	0.197	0.275	0.362	0.486	0.649	0.863	1.099	1.503	2.017	2	2.276
2540	"Madagascar"	450	"95-99"	0.021	0.02	0.021	0.024	0.035	0.05	0.071	0.098	0.131	0.18	0.26	0.36	0.369
2541	"Madagascar"	450	"100+"	0.001	0.001	0.001	0.002	0.002	0.003	0.004	0.006	0.009	0.012	0.017	0.026	0.037
2563	"Malaysia"	458	"0-4"	511.2	642.1	745	838.1	869.4	916.3	909.836	1164.857	1200.163	1286.043	1292.685	1328.056	1322.977
2564	"Malaysia"	458	"5-9"	373	483.2	614.7	721	816.1	833.2	906.259	893.971	1131.371	1197.791	1286.208	1291.528	1327.119
2565	"Malaysia"	458	"10-14"	358.3	365.9	475.8	607.3	711.7	796.2	829.251	895.639	967.299	1138.713	1215.34	1292.193	1296.772
2566	"Malaysia"	458	"15-19"	292.5	351.3	360	469.8	590.4	699.7	791.902	819.892	888.987	983.607	1171.165	1236.858	1310.833
2567	"Malaysia"	458	"20-24"	254.5	285	343.7	353.8	457.3	571.6	694.265	781.402	821.612	909.554	1023.275	1191.082	1254.044
2568	"Malaysia"	458	"25-29"	218.7	246.7	277.6	336.4	345.3	455.5	565.91	684.007	795.317	843.003	951.412	1028.188	1194.956
2569	"Malaysia"	458	"30-34"	194.3	211.1	239.4	270.8	325.3	345.1	450.156	556.621	699.743	813.247	878.852	949.771	1026.515
2570	"Malaysia"	458	"35-39"	156	186.7	204	232.7	260.5	322.6	340.262	441.592	571.066	711.08	838.33	874.963	946.09
2571	"Malaysia"	458	"40-44"	146.7	149.1	179.6	197.5	226.1	253.4	316.873	332.439	447.873	574.4	720.067	832.665	869.786
2572	"Malaysia"	458	"45-49"	95	139.4	142.5	172.8	188.5	222	247.409	307.508	326.532	444.193	570.589	712.108	824.592
2573	"Malaysia"	458	"50-54"	88.1	89.1	131.6	135.5	166.3	177.5	214.658	237.672	296.654	318.917	433.461	560.622	701.108
2574	"Malaysia"	458	"55-59"	64	80.8	82.4	122.7	125.2	155.9	168.991	201.682	230.487	284.694	305.714	421.009	546.3
2575	"Malaysia"	458	"60-64"	66.6	56.5	72.2	74.4	110.7	111.6	144.689	153.942	186.937	214.791	266.851	290.662	402.535
2576	"Malaysia"	458	"65-69"	50	50.7	47.8	61.8	66.2	94.8	99.173	123.983	129.428	165.454	189.722	243.635	268.131
2577	"Malaysia"	458	"70-74"	46.4	41	34.3	37.6	56.8	54.3	78.081	79.922	105.656	106.727	136.673	161.994	211.784
2578	"Malaysia"	458	"75-79"	30.9	32.7	30	27.1	30.3	45.9	39.495	62.432	62.97	78.445	80.674	105.217	128.218
2579	"Malaysia"	458	"80-84"	12.808	14.432	15.607	15.944	18.138	20.396	25.372	25.599	38.965	38.002	49.988	52.76	71.938
2580	"Malaysia"	458	"85-89"	4.967	4.496	5.215	6.315	8.166	9.383	8.684	12.693	12.361	18.23	18.746	25.499	28.685
2581	"Malaysia"	458	"90-94"	1.355	1.226	1.149	1.498	2.302	3.011	2.848	3.093	4.36	4.109	6.35	6.787	10.01
2582	"Malaysia"	458	"95-99"	0.241	0.218	0.205	0.216	0.358	0.556	0.597	0.661	0.69	0.939	0.918	1.475	1.724
2583	"Malaysia"	458	"100+"	0.029	0.026	0.024	0.026	0.035	0.057	0.073	0.093	0.1	0.101	0.137	0.141	0.228
3004	"Netherlands"	528	"0-4"	587	540	563.325	593.132	580.277	502.35	431.798	424.271	458.343	475.355	479.218	486.373	452.635
3005	"Netherlands"	528	"5-9"	454	577	538.311	562.125	592.983	588.183	513.807	434.881	433.969	467.279	486.451	484.45	489.898
3006	"Netherlands"	528	"10-14"	404	448	576.333	539.12	564.169	601.29	597.522	517.137	440.173	442.745	476.796	491.181	487.68
3007	"Netherlands"	528	"15-19"	397	401	446.258	577.128	542.059	573.159	612.825	603.433	527.745	452.609	455.291	486.087	497.086
3008	"Netherlands"	528	"20-24"	396	389	396.229	444.1	576.675	553.318	589.175	620.774	619.567	544.467	471.983	473.756	496.246
3009	"Netherlands"	528	"25-29"	401	384	381.22	391.087	439.61	580.62	562.47	594.476	633.93	634.652	564.133	492.449	483.679
3010	"Netherlands"	528	"30-34"	348	393	380.22	379.084	389.986	442.531	583.525	563.34	598.722	643.835	646.511	576.382	498.03
3011	"Netherlands"	528	"35-39"	348	342	390.225	379.084	378.281	393.235	444.599	582.297	563.755	604.271	648.627	649.293	578.452
3012	"Netherlands"	528	"40-44"	333	342	340.196	388.086	377.58	380.342	395.397	443.081	582.14	565.441	604.742	646.643	648.694
3013	"Netherlands"	528	"45-49"	304	327	339.196	338.075	384.984	376.401	378.609	392.848	441.451	579.64	562.026	599.835	642.904
3014	"Netherlands"	528	"50-54"	268	298	322.186	334.074	332.86	380.859	371.64	374.061	388.591	436.694	572.072	553.507	592.965
3015	"Netherlands"	528	"55-59"	231	261	291.168	315.07	326.256	325.974	373.087	364.027	366.722	381.25	427.752	559.37	543.818
3016	"Netherlands"	528	"60-64"	193	220	250.144	280.062	303.045	315.494	315.321	360.942	352.506	355.474	369.577	414.292	544.787
3017	"Netherlands"	528	"65-69"	157	178	205.118	233.052	262.025	284.009	298.485	299.114	343.292	335.419	338.315	352.771	397.58
3018	"Netherlands"	528	"70-74"	120	135	155.09	180.04	206.198	238.536	259.175	273.351	275.469	316.517	309.306	313.721	329.352
3019	"Netherlands"	528	"75-79"	76	91	105.06	122.027	144.769	160.32	197.765	221.648	236.271	239.199	275.584	271.133	278.069
3020	"Netherlands"	528	"80-84"	34.753	47.663	58.229	68.598	82.827	104.149	123.147	148.647	169.796	182.154	185.579	216.224	217.375
3021	"Netherlands"	528	"85-89"	15.8	15.865	22.23	28.349	35.243	45.724	58.491	73.932	91.071	104.562	113.145	117.256	143.286
3022	"Netherlands"	528	"90-94"	4.612	4.631	4.738	7.121	9.754	13.236	17.904	24.718	31.553	38.51	44.429	49.012	55.933
3023	"Netherlands"	528	"95-99"	0.767	0.77	0.783	0.88	1.444	2.19	3.414	4.591	6.327	7.746	9.365	11.029	14.298
3024	"Netherlands"	528	"100+"	0.069	0.069	0.07	0.077	0.094	0.166	0.271	0.43	0.578	0.76	0.965	1.178	1.681
