"index"	"country"	"country_code"	"age"	"1950"	"1955"	"1960"	"1965"	"1970"	"1975"	"1980"	"1985"	"1990"	"1995"	"2000"	"2005"	"2010"
2572	"Malaysia"	458	"45-49"	131.7	165.3	166.1	181.5	187.8	226.9	244.386	320.167	352.294	476.849	612.596	748.408	851.283
2573	"Malaysia"	458	"50-54"	107.1	120.8	153.1	155.3	170.3	175.3	216.837	231.26	306.95	346.416	471.405	595.364	729.563
2574	"Malaysia"	458	"55-59"	73.5	95.4	108.8	139.3	138.1	154.6	163.642	198.408	229.286	291.987	330.641	448.853	569.334
2575	"Malaysia"	458	"60-64"	72	62.6	82.2	94.9	120.9	117.2	139.152	143.841	177.425	208.121	264.817	304.032	415.355
2576	"Malaysia"	458	"65-69"	59	51.7	50.5	67.4	79.2	98.6	99.765	113.439	119.282	151.058	175.989	229.781	266.383
2577	"Malaysia"	458	"70-74"	51.5	50.2	40.8	37.6	57.1	60.4	76.876	74.296	91.594	93.553	118.327	140.769	186.087
2578	"Malaysia"	458	"75-79"	32.4	31.5	32.2	29.8	27.6	42.4	41.088	54.751	54.077	63.764	65.673	84.434	101.941
2579	"Malaysia"	458	"80-84"	13.15	13.98	13.924	14.479	16.217	17.085	21.234	22.457	30.366	30.813	38.036	39.801	51.895
2580	"Malaysia"	458	"85-89"	4.751	4.265	4.694	4.802	6.097	7.83	6.701	9.135	9.833	13.696	14.577	18.185	19.198
2581	"Malaysia"	458	"90-94"	1.192	1.07	1.005	1.146	1.443	2.114	2.212	2.083	2.895	3.213	4.697	5.008	6.248
2582	"Malaysia"	458	"95-99"	0.193	0.173	0.164	0.161	0.227	0.331	0.396	0.457	0.439	0.629	0.732	1.061	1.118
2583	"Malaysia"	458	"100+"	0.021	0.019	0.018	0.018	0.022	0.035	0.043	0.056	0.067	0.069	0.099	0.115	0.159
3004	"Netherlands"	528	"0-4"	620	570	591.34	622.138	608.09	525.892	453.175	444.454	479.676	498.29	502.833	510.181	476.152
3005	"Netherlands"	528	"5-9"	478	609	568.328	590.131	621.497	615.892	537.13	455.66	453.337	488.38	509.415	507.7	515.44
3006	"Netherlands"	528	"10-14"	421	470	607.35	568.126	590.982	629.6	625.741	540.216	461.864	462.309	498.718	514.111	513.076
3007	"Netherlands"	528	"15-19"	414	416	467.27	606.135	568.772	598.803	641.795	630.23	549.839	472.855	474.031	505.8	523.504
3008	"Netherlands"	528	"20-24"	404	401	410.237	468.104	608.591	577.355	611.839	646.744	645.702	564.351	486.022	485.356	517.66
3009	"Netherlands"	528	"25-29"	395	383	390.225	417.093	477.228	620.005	588.928	614.861	664.63	661.482	577.506	496.44	495.469
3010	"Netherlands"	528	"30-34"	341	380	376.217	395.088	423.002	482.333	622.945	587.64	622.837	675.062	669.968	581.003	501.671
3011	"Netherlands"	528	"35-39"	335	333	375.217	378.084	397.19	424.56	479.895	617.503	586.933	625.954	675.422	665.697	580.252
3012	"Netherlands"	528	"40-44"	317	328	329.19	375.083	376.78	394.13	419.703	473.077	612.878	584.834	620.869	666.135	661.562
3013	"Netherlands"	528	"45-49"	289	310	323.187	325.072	369.376	370.67	387.169	411.758	465.812	605.661	576.458	609.677	659.135
3014	"Netherlands"	528	"50-54"	252	281	303.175	316.07	316.651	359.802	360.67	376.708	400.753	455.556	592.223	562.859	599.144
3015	"Netherlands"	528	"55-59"	218	242	270.156	289.064	300.744	301.545	343.841	345.049	360.351	385.691	439.474	572.244	547.659
3016	"Netherlands"	528	"60-64"	183	204	225.13	249.055	265.925	277.202	278.534	318.964	321.31	337.86	363.604	416.739	548.273
3017	"Netherlands"	528	"65-69"	148	165	182.105	198.044	217.504	227.012	242.707	245.737	283.525	288.75	305.944	333.905	387.816
3018	"Netherlands"	528	"70-74"	111	124	138.08	151.034	160.377	174.126	186.769	198.044	202.822	237.428	245.047	265.126	295.231
3019	"Netherlands"	528	"75-79"	69	82	91.053	102.023	108.952	119.843	126.281	135.219	145.478	151.316	180.582	192.464	214.826
3020	"Netherlands"	528	"80-84"	29.75	41.382	49.966	56.332	63.631	68.675	70.166	77.219	82.938	90.771	96.193	119.706	134.596
3021	"Netherlands"	528	"85-89"	12.497	12.784	18.085	22.157	25.178	28.748	31.908	33.556	36.678	39.377	43.645	48.291	65.727
3022	"Netherlands"	528	"90-94"	3.263	3.338	3.473	4.986	6.156	7.072	9.982	10.581	11.033	11.63	12.563	14.377	18.219
3023	"Netherlands"	528	"95-99"	0.457	0.467	0.486	0.513	0.743	0.927	2.07	2.064	2.135	2.063	2.148	2.344	3.199
3024	"Netherlands"	528	"100+"	0.03	0.031	0.032	0.034	0.036	0.052	0.133	0.235	0.235	0.212	0.219	0.23	0.287
